timestamp,sec,nanosec,pv_x,pv_y,pv_z,ov_x,ov_y,ov_z,ov_w,tcp_speedv_x,tcp_speedv_y,tcp_speedv_z,tcp_speedv,tcp_angularv_x,tcp_angularv_y,tcp_angularv_z,tcp_angularv,tcp_accelv__x,tcp_accelv__y,tcp_accelv__z,tcp_accelv,tcp_accelv_angular_x,tcp_accelv_angular_y,tcp_accelv_angular_z,tcp_accelv_angular,ps_x,ps_y,ps_z,os_x,os_y,os_z,os_w,tcp_speeds,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ap_x,ap_y,ap_z
1719851567836042427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.277,105.585,53.4511,,,
1719851567839126815,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567839416729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75829,88.277,105.585,53.4511,,,
1719851567841888268,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567842099124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.3027,-1.75829,88.2765,105.585,53.4511,,,
1719851567842973697,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567843170190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3792,9.30279,-1.75821,88.2768,105.585,53.4516,,,
1719851567843949095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851567843967759,,,,,,,,,,,,,,,,,,,,,,,,,,369.998,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567846526127,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851567847059409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75829,88.2765,105.585,53.4512,,,
1719851568822480639,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568823924916,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568824034209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642343,0.60757,0.386597,0.690852,,,,,,,,,,
1719851568824060336,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568826145252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642343,0.60757,0.386597,0.690852,,,,,,,,,,
1719851568826185696,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568828102387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568828152788,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568830659189,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568831873020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642335,0.607569,0.386595,0.690853,,,,,,,,,,
1719851568832460887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642335,0.607569,0.386595,0.690853,,,,,,,,,,
1719851568832489879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568832507493,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568832926078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75821,88.277,105.585,53.4511,,,
1719851568833926917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607571,0.386595,0.690852,,,,,,,,,,
1719851568833951149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568833965854,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568834268837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4513,,,
1719851568834991638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607571,0.386595,0.690852,,,,,,,,,,
1719851568835014526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568835027527,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568835250848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4513,,,
1719851568837164356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642322,0.607571,0.386595,0.690852,,,,,,,,,,
1719851568837184280,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568837472108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4513,,,
1719851568840141869,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568840439735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642333,0.60757,0.386596,0.690852,,,,,,,,,,
1719851568840457259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568840668018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75821,88.2768,105.585,53.4511,,,
1719851568843084951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642333,0.60757,0.386596,0.690852,,,,,,,,,,
1719851568843103394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568843112920,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568843286056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30291,-1.75821,88.2768,105.585,53.4511,,,
1719851568844188506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642333,0.60757,0.386596,0.690852,,,,,,,,,,
1719851568844207841,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568844284669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30291,-1.75821,88.2768,105.585,53.4511,,,
1719851568845546885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642309,0.60757,0.386595,0.690852,,,,,,,,,,
1719851568845553674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568845558750,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851568845702526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30291,-1.75821,88.2768,105.585,53.4511,,,
1719851568848301226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642309,0.60757,0.386595,0.690852,,,,,,,,,,
1719851568848317919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851568848322580,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.01,1730.02,,,,,,,,,,,,,,
1719851568848449351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.3027,-1.75821,88.2768,105.585,53.4514,,,
1719851569835280733,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569836641706,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569837210689,,,,,,,,,,,,,,,,,,,,,,,,,,369.996,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569837655156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851569839495752,,,,,,,,,,,,,,,,,,,,,,,,,,369.999,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569839959247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642306,0.607572,0.386596,0.690851,,,,,,,,,,
1719851569842583561,,,,,,,,,,,,,,,,,,,,,,,,,,369.993,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569843755562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851569846361668,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569847299595,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569847668873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4511,,,
1719851569848241714,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569848613290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4511,,,
1719851569850679879,,,,,,,,,,,,,,,,,,,,,,,,,,369.995,-1130.02,1730.02,,,,,,,,,,,,,,
1719851569850909593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3794,9.30279,-1.75821,88.2768,105.585,53.4511,,,
1719851569853356443,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851569854306335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1719851569855949861,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.01,1730.02,,,,,,,,,,,,,,
1719851569856085576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.3793,9.30279,-1.75829,88.2768,105.585,53.4511,,,
1719851569858268702,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851569859273048,,,,,,,,,,,,,,,,,,,,,,,,,,369.997,-1130.02,1730.01,,,,,,,,,,,,,,
1719851569859582977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064231,0.607573,0.386596,0.69085,,,,,,,,,,
1719851569859649939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
